employee_id,job_title,department,start_date,end_date,salary,bonus,benefits,salary_type,currency
243,Analog Circuit Design manager,406,2/22/2019,2/28/2021,42384.23,35426.79,health insurance,hourly,PLN
164,Senior Editor,810,10/26/2016,7/26/2000,88320.3,16619.58,retirement plan,salary,ALL
228,Biostatistician III,66,7/5/2022,11/5/2012,42780.22,9000.44,retirement plan,salary,USD
204,Sales Representative,954,10/18/2001,10/13/2018,132587.21,31652.19,retirement plan,hourly,EUR
236,Actuary,912,11/25/2015,7/3/2018,177836.62,46670.15,health insurance,hourly,CNY
350,Research Nurse,941,6/21/2003,1/22/2007,116936.1,14725.32,paid time off,hourly,PHP
469,Project Manager,782,2/25/2020,10/18/2015,75064.01,47959.54,health insurance,salary,PEN
530,Junior Executive,192,12/14/2009,11/23/2018,42824.74,48116.35,health insurance,hourly,CNY
404,Executive Secretary,993,8/6/2002,11/22/2005,75383.59,7499.32,retirement plan,hourly,CNY
746,Financial Advisor,134,9/3/2001,10/13/2009,161080.59,22745.77,retirement plan,salary,NGN
506,Accountant IV,719,9/3/2010,3/17/2002,139580.32,30573.54,retirement plan,salary,MNT
669,Physical Therapy Assistant,80,2/11/2015,3/12/2007,43463.79,25275.35,retirement plan,hourly,MGA
798,Pharmacist,27,11/15/2001,2/15/2020,187938.56,17540.05,health insurance,hourly,SEK
147,Account Coordinator,321,4/18/2010,3/22/2016,170740.64,35911.69,retirement plan,hourly,RUB
335,Web Designer IV,547,3/21/2011,4/20/2014,167272.14,36321.95,paid time off,hourly,CNY
661,Database Administrator IV,114,5/23/2008,9/14/2000,56686.65,37875.96,health insurance,salary,UAH
387,Help Desk Operator,987,6/14/2018,6/29/2013,148899.68,25895.18,health insurance,hourly,SEK
122,Analyst Programmer,913,10/10/2008,5/15/2001,165289.74,11691.89,paid time off,hourly,ZAR
328,Environmental Specialist,205,2/17/2022,8/9/2013,98313.94,2756.42,paid time off,hourly,PEN
193,Structural Analysis Engineer,212,4/11/2021,2/16/2017,51218.75,21935.38,paid time off,salary,IDR
155,Graphic Designer,591,3/23/2012,1/3/2000,164654.07,31051.94,paid time off,salary,CNY
550,Accounting Assistant II,118,7/20/2006,5/2/2006,116257.24,36838.74,retirement plan,salary,CNY
544,Analyst Programmer,643,6/11/2010,2/6/2018,145167.12,2075.41,paid time off,hourly,PEN
779,Accountant III,321,11/3/2006,9/12/2015,98832.49,21142.44,health insurance,hourly,ARS
698,Analog Circuit Design manager,916,7/16/2008,7/11/2016,55578.45,20951.57,retirement plan,hourly,IDR
816,Programmer II,956,8/16/2010,8/29/2015,106563.43,24719.45,retirement plan,hourly,JPY
205,Junior Executive,126,12/28/2009,12/26/2019,136990.75,17758.84,health insurance,salary,RUB
181,Analyst Programmer,699,3/21/2002,10/14/2011,136883.24,28033.34,paid time off,salary,IDR
273,Community Outreach Specialist,471,7/17/2014,3/30/2005,182532.56,17557.19,retirement plan,hourly,CNY
241,Director of Sales,785,2/24/2006,6/2/2008,34821.15,31896.92,retirement plan,salary,PEN
668,Pharmacist,491,8/4/2012,9/16/2003,105122.51,46339.98,paid time off,salary,IDR
383,Health Coach II,650,4/14/2009,8/9/2013,134760.98,31803.26,paid time off,salary,IDR
670,Analog Circuit Design manager,933,3/5/2018,7/16/2021,163579.41,12116.48,retirement plan,salary,RUB
712,Business Systems Development Analyst,414,8/3/2011,12/22/2021,146387.54,2558.01,paid time off,hourly,EUR
132,Food Chemist,444,11/4/2008,12/30/2011,93911.43,33811.39,health insurance,salary,XAF
836,Software Consultant,415,12/30/2016,12/7/2017,78349.54,48849.02,paid time off,hourly,SEK
994,Nuclear Power Engineer,383,10/22/2013,7/8/2018,140745.2,41161.16,paid time off,salary,PHP
511,Accountant I,495,8/25/2015,6/9/2000,62346.69,42402.31,paid time off,salary,PHP
778,Registered Nurse,924,1/19/2011,5/14/2001,40958.51,3681.2,paid time off,salary,JPY
145,Librarian,516,8/21/2011,11/24/2008,192661.39,10848.25,paid time off,salary,CLP
143,Speech Pathologist,931,3/6/2021,11/29/2012,182227.11,49319.74,retirement plan,hourly,CNY
89,Dental Hygienist,824,4/11/2006,7/10/2001,28575.54,40247.98,paid time off,salary,BRL
182,Assistant Professor,405,7/28/2001,4/21/2001,108028.55,19276.61,retirement plan,salary,USD
579,VP Quality Control,445,4/6/2022,5/9/2022,30410.98,1204.47,retirement plan,hourly,SEK
131,Environmental Tech,291,6/12/2002,2/12/2011,70260.67,41828.01,health insurance,hourly,UGX
97,Pharmacist,227,2/27/2018,10/22/2016,170476.98,24955.49,paid time off,salary,KHR
44,Staff Scientist,510,9/29/2015,3/18/2012,121048.82,19312.35,health insurance,hourly,RUB
375,Biostatistician I,140,11/27/2014,3/28/2011,113879.31,5312.0,paid time off,hourly,KRW
476,Environmental Specialist,340,9/29/2008,12/22/2015,24134.61,15032.29,health insurance,hourly,EUR
318,Operator,712,7/29/2009,6/6/2019,129684.09,37449.95,health insurance,salary,XAF
810,GIS Technical Architect,214,1/25/2011,4/3/2012,71294.72,34302.92,paid time off,hourly,CNY
7,Web Designer II,754,10/13/2012,3/5/2015,161466.76,46857.18,health insurance,salary,RUB
206,Senior Sales Associate,677,2/21/2012,3/5/2008,101622.67,13696.62,health insurance,salary,IDR
262,VP Product Management,506,3/22/2009,9/17/2012,184974.49,14071.5,retirement plan,hourly,PHP
572,Biostatistician III,127,7/1/2000,5/10/2018,67691.29,17835.17,retirement plan,hourly,EUR
650,Environmental Tech,118,8/18/2007,1/3/2022,60850.85,2509.48,paid time off,hourly,CNY
520,Software Consultant,916,12/11/2000,6/26/2006,156764.74,23124.31,retirement plan,salary,AFN
476,Internal Auditor,115,3/8/2005,11/4/2013,168723.42,36258.24,paid time off,salary,PEN
956,Junior Executive,729,9/11/2014,5/19/2021,77541.47,1407.41,retirement plan,hourly,CNY
193,Assistant Manager,544,12/8/2003,10/1/2014,120961.56,35724.0,paid time off,salary,NGN
47,Account Executive,207,6/16/2005,4/4/2012,65905.91,34432.04,paid time off,hourly,PHP
20,Occupational Therapist,63,4/29/2000,3/2/2020,106231.46,30699.52,retirement plan,salary,CNY
706,GIS Technical Architect,799,6/3/2008,7/31/2003,41296.66,13958.72,paid time off,salary,KPW
348,Engineer III,203,7/3/2013,8/22/2020,135180.89,36189.72,paid time off,hourly,EUR
897,Technical Writer,340,12/25/2007,2/19/2021,62221.72,12390.4,paid time off,hourly,KRW
471,Research Nurse,845,7/5/2020,4/16/2005,64545.55,43939.85,health insurance,salary,TWD
12,Physical Therapy Assistant,22,8/14/2012,9/13/2006,198019.86,3520.27,retirement plan,salary,TND
75,Recruiter,36,9/28/2018,8/10/2016,102720.96,39191.4,health insurance,hourly,CNY
490,Payment Adjustment Coordinator,570,8/24/2018,7/23/2017,78790.02,48089.65,health insurance,salary,CZK
707,Database Administrator I,390,9/12/2002,10/25/2021,83257.47,10362.57,retirement plan,hourly,CNY
461,Sales Representative,231,8/14/2020,8/25/2008,99227.73,3812.04,retirement plan,hourly,RUB
363,Community Outreach Specialist,692,2/4/2016,5/23/2008,181775.9,45527.49,retirement plan,hourly,CNY
118,Recruiting Manager,937,10/31/2010,6/1/2018,145258.06,46775.07,paid time off,salary,JPY
769,Sales Associate,850,4/23/2022,3/7/2017,159855.65,39061.61,paid time off,salary,CNY
26,Social Worker,867,2/13/2014,2/18/2016,109563.78,46979.0,health insurance,salary,PLN
822,Senior Cost Accountant,315,12/11/2021,4/12/2017,89790.71,4030.99,paid time off,hourly,PLN
969,Design Engineer,856,12/2/2022,8/28/2019,150326.72,21681.05,paid time off,salary,IDR
884,Sales Representative,802,10/10/2013,12/3/2012,188011.57,40086.76,health insurance,hourly,ETB
996,Quality Engineer,345,1/14/2003,9/19/2020,144473.89,39885.49,health insurance,hourly,CNY
808,Dental Hygienist,177,3/22/2002,4/13/2020,198460.95,20464.69,health insurance,salary,CNY
486,Assistant Media Planner,266,5/7/2021,9/15/2007,23767.86,49863.92,paid time off,hourly,RUB
144,Community Outreach Specialist,944,8/13/2005,6/5/2003,78416.47,1694.89,health insurance,salary,EUR
14,Research Assistant IV,850,1/28/2018,11/27/2016,119536.75,14472.44,health insurance,hourly,PHP
359,Data Coordinator,11,4/4/2013,2/25/2022,158634.19,39459.15,paid time off,hourly,ZAR
628,Operator,132,12/24/2005,3/16/2005,89751.31,21795.66,health insurance,hourly,IDR
749,Recruiting Manager,675,1/23/2008,3/11/2017,194218.22,19011.23,paid time off,hourly,RUB
429,Senior Sales Associate,933,11/18/2016,5/19/2003,156903.69,9779.57,retirement plan,salary,CNY
31,Editor,698,12/31/2003,4/9/2015,81176.74,49203.12,health insurance,hourly,EUR
661,Associate Professor,781,3/19/2011,10/31/2011,32135.15,570.62,retirement plan,salary,USD
907,Web Designer IV,547,10/30/2022,2/26/2004,82146.96,29207.31,retirement plan,salary,IDR
421,Product Engineer,984,2/25/2010,6/30/2001,74987.53,25159.02,health insurance,salary,USD
532,Senior Developer,483,2/21/2002,5/9/2007,27404.36,42122.3,paid time off,hourly,EUR
812,Operator,782,7/28/2002,6/9/2021,146360.55,21456.65,paid time off,salary,ZAR
710,Clinical Specialist,344,9/10/2012,7/4/2020,156402.91,31354.76,paid time off,hourly,CNY
890,Human Resources Assistant II,338,9/14/2021,5/29/2000,91680.56,20580.13,health insurance,hourly,IDR
757,Teacher,202,11/27/2007,4/29/2018,73806.39,119.92,retirement plan,hourly,CNY
517,Editor,370,5/6/2019,8/30/2004,54467.4,44048.42,retirement plan,salary,CAD
424,Marketing Assistant,806,1/17/2001,9/10/2006,87472.74,20335.63,paid time off,salary,IDR
104,Assistant Media Planner,904,2/19/2011,5/6/2015,32328.51,20699.24,retirement plan,salary,LKR
809,Account Representative IV,309,1/20/2015,7/5/2014,123190.92,48686.03,paid time off,hourly,PHP
831,Recruiter,545,2/26/2004,6/7/2013,101433.96,15824.19,paid time off,hourly,CNY
848,Senior Editor,712,1/24/2013,11/10/2013,36920.89,22283.44,paid time off,hourly,COP
207,Structural Analysis Engineer,272,3/15/2006,6/7/2010,62939.29,31479.5,retirement plan,salary,IDR
949,Director of Sales,71,2/11/2001,2/7/2004,45363.63,3124.35,retirement plan,salary,CNY
167,GIS Technical Architect,669,7/24/2010,6/12/2004,126945.92,47056.45,health insurance,hourly,CNY
746,Staff Scientist,933,3/24/2001,7/18/2007,129928.78,16705.78,health insurance,salary,PLN
683,GIS Technical Architect,545,4/30/2000,12/31/2001,138155.15,7592.4,retirement plan,salary,AUD
503,Computer Systems Analyst III,663,8/3/2009,12/13/2020,185707.39,3620.72,health insurance,salary,SEK
586,Senior Cost Accountant,46,6/22/2020,8/11/2013,148513.22,42492.63,health insurance,hourly,ARS
5,Help Desk Operator,977,4/11/2003,4/14/2006,25814.43,49311.77,paid time off,hourly,EUR
805,Food Chemist,222,8/12/2021,1/16/2022,163810.5,6524.87,paid time off,hourly,IDR
117,Assistant Media Planner,966,4/3/2014,3/21/2015,192774.7,25750.92,health insurance,hourly,COP
387,Financial Advisor,862,8/24/2019,12/3/2005,167681.55,19483.57,health insurance,hourly,ZAR
148,Account Executive,193,2/23/2004,4/14/2013,160618.09,43904.91,health insurance,hourly,PHP
623,Registered Nurse,684,8/25/2022,2/21/2004,155163.13,49786.26,retirement plan,salary,CNY
315,Financial Analyst,317,4/10/2007,3/28/2019,116427.07,1405.75,paid time off,hourly,EUR
11,Senior Developer,631,1/27/2021,3/7/2014,134009.97,49076.65,retirement plan,salary,PHP
49,Desktop Support Technician,918,7/16/2015,3/10/2007,78224.03,16625.41,retirement plan,salary,CNY
13,Computer Systems Analyst IV,433,6/2/2015,8/19/2019,68376.36,39919.12,health insurance,salary,ARS
366,Clinical Specialist,954,5/4/2022,7/9/2021,122987.41,43245.33,paid time off,hourly,PEN
708,Software Consultant,753,11/2/2013,11/15/2020,150157.25,43695.86,health insurance,hourly,EUR
414,Registered Nurse,697,4/5/2009,4/21/2000,74410.73,8867.03,health insurance,salary,PEN
159,Community Outreach Specialist,505,3/10/2018,12/26/2022,169123.27,45648.51,paid time off,hourly,EUR
120,Programmer Analyst II,480,12/6/2004,10/29/2014,153505.04,15088.65,health insurance,hourly,USD
516,Technical Writer,454,2/15/2012,6/18/2009,138413.44,36622.22,paid time off,hourly,PHP
14,Social Worker,485,2/9/2003,9/21/2008,136412.09,30506.69,health insurance,hourly,CRC
393,Engineer I,973,7/26/2003,8/2/2003,198016.06,34986.76,paid time off,salary,PHP
405,Account Representative III,42,7/3/2008,2/24/2020,42721.46,1209.58,paid time off,salary,CNY
552,Desktop Support Technician,872,11/7/2000,5/31/2000,169290.32,49366.98,health insurance,hourly,BRL
558,Senior Quality Engineer,527,12/3/2008,5/7/2006,182394.57,30087.66,retirement plan,salary,PHP
142,Chemical Engineer,543,2/7/2012,5/23/2010,78969.24,24164.13,paid time off,salary,MKD
439,Quality Engineer,109,8/19/2012,7/19/2010,23598.1,1789.84,retirement plan,hourly,KES
508,Senior Financial Analyst,603,2/12/2004,11/11/2011,26707.69,19047.86,health insurance,hourly,HRK
951,Human Resources Manager,741,3/7/2010,8/23/2003,126215.48,33044.72,health insurance,hourly,PLN
596,VP Accounting,599,11/3/2011,8/12/2009,61216.82,35363.27,health insurance,salary,JPY
290,Senior Financial Analyst,676,7/12/2005,1/16/2020,144165.03,23393.43,retirement plan,hourly,EUR
332,Business Systems Development Analyst,44,7/14/2003,3/16/2013,109097.74,714.8,paid time off,hourly,IDR
428,Business Systems Development Analyst,357,7/19/2020,2/10/2011,137330.4,14560.7,paid time off,salary,ZAR
33,Structural Engineer,563,12/15/2007,11/17/2008,48010.66,33188.0,retirement plan,hourly,IDR
277,Account Representative III,798,1/22/2007,9/14/2000,161324.26,47491.42,paid time off,hourly,CNY
660,Geologist II,464,5/13/2002,6/14/2001,123525.14,10552.54,paid time off,hourly,JPY
950,Account Representative II,100,10/12/2009,3/17/2004,75461.55,38651.18,retirement plan,salary,USD
721,Programmer Analyst III,549,6/9/2000,8/18/2016,102371.78,10548.03,health insurance,salary,EUR
771,Accounting Assistant II,754,8/23/2004,8/24/2009,170444.39,40220.0,retirement plan,salary,CNY
101,Nurse,403,1/23/2009,5/18/2004,41792.56,10550.94,health insurance,hourly,EUR
639,Executive Secretary,747,5/23/2005,9/3/2021,77131.43,12885.84,health insurance,hourly,ALL
28,Staff Scientist,104,3/7/2010,1/23/2015,107370.95,3853.14,retirement plan,salary,IDR
461,Structural Analysis Engineer,544,7/15/2013,7/12/2013,38993.86,37069.34,retirement plan,hourly,BRL
469,Associate Professor,451,10/6/2016,3/12/2009,105214.71,36437.4,paid time off,salary,PLN
999,Food Chemist,393,5/27/2011,2/12/2012,37802.45,20161.72,retirement plan,salary,PHP
245,Account Coordinator,569,2/5/2020,10/7/2019,154123.55,16287.82,paid time off,hourly,EUR
453,Geologist III,820,10/26/2009,12/6/2009,160665.56,271.43,paid time off,salary,CNY
415,Research Associate,497,9/7/2019,2/20/2021,56404.29,39387.84,retirement plan,hourly,RUB
92,Registered Nurse,658,6/26/2012,4/14/2009,34016.95,17018.45,paid time off,hourly,ZWL
128,Administrative Officer,261,6/13/2000,1/21/2001,57103.25,11297.37,retirement plan,hourly,PLN
394,Design Engineer,659,6/5/2008,11/1/2022,124143.83,17279.27,retirement plan,hourly,RUB
57,Mechanical Systems Engineer,374,11/25/2022,6/13/2006,38711.88,49674.67,health insurance,salary,EUR
882,Environmental Specialist,337,12/29/2010,4/1/2003,65543.84,36883.1,paid time off,hourly,CNY
474,Product Engineer,631,5/11/2017,8/13/2007,34080.91,32705.41,retirement plan,salary,IDR
743,Actuary,247,3/15/2008,9/25/2002,186320.77,25638.65,health insurance,salary,USD
803,Nurse Practicioner,887,2/1/2014,8/26/2006,146684.51,12516.67,paid time off,hourly,BIF
860,Project Manager,115,2/2/2019,2/6/2004,169773.06,17083.02,health insurance,salary,PAB
687,Staff Accountant I,148,12/7/2001,6/20/2008,58278.41,32583.2,paid time off,hourly,CNY
947,Electrical Engineer,735,3/29/2013,11/22/2008,65401.32,21266.11,retirement plan,hourly,EUR
896,Paralegal,160,11/14/2011,2/13/2000,185036.83,43473.29,health insurance,hourly,EUR
917,Statistician IV,907,3/25/2015,10/5/2011,64680.0,37672.47,health insurance,salary,LKR
108,Quality Control Specialist,758,12/1/2006,3/20/2011,46179.88,40544.55,retirement plan,salary,PEN
712,Occupational Therapist,69,9/28/2000,10/3/2007,28410.9,44962.12,health insurance,hourly,CNY
618,Information Systems Manager,231,7/16/2017,8/30/2004,159756.54,29266.28,retirement plan,hourly,CNY
571,Web Developer III,76,7/11/2000,7/30/2002,42771.74,17878.17,retirement plan,salary,IDR
680,Data Coordinator,704,1/7/2007,4/29/2020,130479.85,26236.9,paid time off,hourly,RUB
901,Dental Hygienist,773,2/24/2015,3/17/2019,172844.98,40409.02,paid time off,hourly,PEN
896,Editor,539,10/4/2006,4/17/2016,59998.79,4022.3,paid time off,salary,EUR
578,Physical Therapy Assistant,811,12/6/2004,10/4/2021,57424.77,5514.78,retirement plan,hourly,VUV
787,Civil Engineer,591,9/30/2019,12/4/2018,73444.47,4713.18,health insurance,hourly,BRL
508,Associate Professor,315,3/13/2012,11/12/2000,135514.79,34084.7,paid time off,hourly,EUR
506,Office Assistant I,963,10/21/2007,11/7/2021,133743.0,36194.51,retirement plan,salary,PLN
128,Health Coach I,65,11/20/2016,4/9/2015,146773.53,25761.26,health insurance,hourly,MKD
727,Account Representative I,562,2/9/2016,11/8/2010,54926.82,2828.83,paid time off,salary,IDR
791,Nurse,835,7/18/2011,11/4/2012,61350.12,37504.26,retirement plan,salary,BRL
865,Product Engineer,711,2/16/2004,4/22/2000,89013.93,20461.15,retirement plan,hourly,RUB
207,Paralegal,909,9/2/2002,12/25/2022,157703.42,45736.09,paid time off,salary,IDR
127,Database Administrator III,361,12/8/2018,12/27/2006,36364.8,13789.52,paid time off,hourly,EUR
411,Electrical Engineer,381,4/11/2004,10/31/2006,90780.82,34599.63,paid time off,hourly,KPW
46,Financial Analyst,889,12/8/2005,11/1/2022,34695.52,5461.73,health insurance,hourly,EUR
495,Librarian,626,5/7/2001,6/16/2016,108200.04,8177.38,health insurance,hourly,PEN
671,Recruiting Manager,350,4/1/2013,9/2/2021,40828.55,7973.82,retirement plan,hourly,VND
897,Pharmacist,720,11/29/2005,3/22/2001,158720.58,5541.46,retirement plan,hourly,KPW
871,Quality Engineer,816,5/29/2008,1/22/2003,82077.93,8745.15,paid time off,salary,CNY
648,Office Assistant IV,978,12/9/2014,1/25/2022,51700.81,17819.26,health insurance,hourly,CNY
159,Internal Auditor,271,3/29/2004,10/31/2017,131836.48,38197.13,paid time off,hourly,PHP
313,General Manager,600,1/17/2007,6/28/2011,190223.87,39462.71,retirement plan,salary,MAD
863,Project Manager,485,3/23/2002,2/7/2000,108886.16,19679.97,health insurance,hourly,MWK
864,Assistant Professor,286,12/2/2003,1/30/2001,142382.45,24020.61,paid time off,hourly,BRL
592,Financial Analyst,209,10/7/2003,3/5/2022,43932.73,48832.8,health insurance,salary,EUR
782,General Manager,707,9/14/2011,8/22/2013,132190.41,19497.62,retirement plan,salary,PLN
227,Senior Editor,752,4/2/2009,11/22/2017,161576.73,12027.84,paid time off,salary,XOF
718,Sales Associate,816,1/3/2019,10/20/2015,192937.54,22524.98,paid time off,hourly,JPY
652,Database Administrator III,222,1/9/2007,10/29/2018,172801.95,47341.69,paid time off,salary,GNF
560,Financial Advisor,584,4/2/2020,4/9/2011,172143.12,39926.7,paid time off,salary,PHP
913,Occupational Therapist,516,11/14/2012,8/5/2001,172974.63,10956.5,retirement plan,salary,CNY
522,VP Quality Control,880,10/24/2019,2/7/2021,141123.45,26924.19,health insurance,salary,PGK
115,Systems Administrator II,592,2/16/2003,6/9/2013,164714.56,25135.77,retirement plan,salary,IDR
183,Staff Accountant I,276,2/5/2020,7/24/2017,49162.25,11805.51,paid time off,salary,EUR
969,Research Assistant IV,109,8/12/2010,2/12/2011,106076.92,27946.37,paid time off,salary,CNY
77,Web Developer I,801,5/5/2006,9/30/2016,55138.4,33250.92,health insurance,hourly,LKR
799,Recruiter,941,4/6/2018,11/20/2007,128794.13,48253.06,retirement plan,hourly,UAH
454,Financial Advisor,615,1/3/2006,5/29/2016,61086.05,36811.89,health insurance,salary,UAH
45,VP Accounting,558,6/24/2014,3/4/2015,180321.74,38184.25,paid time off,salary,USD
574,Financial Analyst,650,3/17/2018,5/18/2001,73225.84,46501.99,health insurance,hourly,PKR
